transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000533,card_00175,2026-01-29T22:20:06Z,online_retail,False,False,dev_004770,SG,3269
txn_0000534,card_00896,2026-01-04T15:40:02Z,fuel,True,False,dev_002772,DE,34135
txn_0000535,card_00391,2026-01-06T22:08:04Z,online_retail,True,False,dev_004678,GB,4040
txn_0000536,card_00617,2026-01-25T08:50:44Z,utilities,True,False,dev_001224,GB,8271
txn_0000537,card_00758,2026-01-17T22:42:57Z,electronics,True,False,dev_004783,DE,28096
txn_0000538,card_00206,2026-01-07T10:43:43Z,utilities,True,False,dev_002409,AE,9598
txn_0000539,card_00620,2026-01-27T18:22:13Z,atm_withdrawal,True,False,dev_001305,SG,2634
txn_0000540,card_00856,2026-01-26T03:39:03Z,electronics,False,False,dev_004801,IN,1708
txn_0000541,card_00542,2026-01-19T20:39:58Z,pharmacy,True,False,dev_000422,GB,20332
txn_0000542,card_00294,2026-01-16T10:49:11Z,entertainment,True,False,dev_004636,US,37520
txn_0000543,card_00246,2026-01-20T05:04:39Z,online_retail,False,False,dev_001115,GB,5763
txn_0000544,card_00581,2026-01-09T06:11:44Z,atm_withdrawal,True,False,dev_004767,US,6685
txn_0000545,card_00224,2026-01-28T21:09:33Z,utilities,True,False,dev_000428,AE,2566
txn_0000546,card_00101,2026-01-06T02:05:31Z,pharmacy,False,False,dev_004826,US,2898
txn_0000547,card_00345,2026-01-04T09:36:15Z,electronics,False,False,dev_000229,DE,1387
txn_0000548,card_00896,2026-01-19T07:25:02Z,restaurant,False,False,dev_001363,IN,13315
txn_0000549,card_00719,2026-01-05T15:20:43Z,fuel,True,False,dev_002524,IN,4789
txn_0000550,card_00854,2026-01-19T20:12:07Z,atm_withdrawal,True,False,dev_004218,DE,2598
txn_0000551,card_00495,2026-01-17T01:16:47Z,travel,True,False,dev_000353,US,2333
txn_0000552,card_00104,2026-01-24T15:32:54Z,online_retail,True,False,dev_002983,SG,1146
txn_0000553,card_00434,2026-01-08T02:02:11Z,grocery,True,False,dev_001636,GB,20743
txn_0000554,card_00255,2026-01-24T05:20:46Z,atm_withdrawal,False,False,dev_004500,IN,2789
txn_0000555,card_00693,2026-01-07T08:54:49Z,restaurant,True,False,dev_001508,SG,1987
txn_0000556,card_00636,2026-01-18T15:55:16Z,pharmacy,False,False,dev_002461,SG,12627
txn_0000557,card_00196,2026-01-10T12:43:40Z,pharmacy,True,True,dev_002482,SG,379516
txn_0000558,card_00633,2026-01-10T16:07:51Z,pharmacy,True,False,dev_001557,US,5602
txn_0000559,card_00532,2026-01-11T03:03:35Z,pharmacy,False,False,dev_004641,GB,3765
txn_0000560,card_00420,2026-01-30T07:43:48Z,fuel,True,False,dev_002584,DE,5693
txn_0000561,card_00019,2026-01-03T08:19:25Z,entertainment,True,False,dev_002272,US,14988
txn_0000562,card_00178,2026-01-27T00:59:25Z,atm_withdrawal,True,False,dev_004374,AE,1834
txn_0000563,card_00375,2026-01-06T06:36:32Z,fuel,True,False,dev_004762,SG,6719
txn_0000564,card_00716,2026-01-17T04:51:23Z,restaurant,True,False,dev_002951,SG,7643
txn_0000565,card_00656,2026-01-06T07:52:12Z,travel,True,False,dev_002761,US,268
txn_0000566,card_00652,2026-01-15T01:46:58Z,atm_withdrawal,True,False,dev_004563,DE,13660
txn_0000567,card_00677,2026-01-02T07:29:28Z,fuel,False,False,dev_003164,DE,2581
txn_0000568,card_00438,2026-01-05T10:40:58Z,fuel,True,False,dev_004312,SG,2419
txn_0000569,card_00135,2026-01-03T11:58:03Z,entertainment,True,False,dev_002573,GB,1728
txn_0000570,card_00412,2026-01-16T14:15:09Z,online_retail,True,False,dev_000344,AE,7642
txn_0000571,card_00546,2026-01-27T09:29:09Z,utilities,False,False,dev_001658,SG,4354
txn_0000572,card_00432,2026-01-09T18:31:35Z,entertainment,True,False,dev_002175,SG,1149
txn_0000573,card_00450,2026-01-24T02:50:36Z,online_retail,True,False,dev_002589,US,45855
txn_0000574,card_00350,2026-01-08T13:52:11Z,travel,False,False,dev_001295,GB,34375
txn_0000575,card_00513,2026-01-14T11:22:21Z,travel,False,False,dev_000389,IN,14554
txn_0000576,card_00427,2026-01-07T14:40:22Z,electronics,False,False,dev_002136,US,6179
txn_0000577,card_00112,2026-01-28T05:17:45Z,restaurant,True,False,dev_001595,AE,38482
txn_0000578,card_00360,2026-01-15T01:07:16Z,utilities,True,False,dev_000990,IN,39636
txn_0000579,card_00282,2026-01-23T20:11:47Z,atm_withdrawal,True,False,dev_002235,IN,1701
txn_0000580,card_00725,2026-01-11T03:02:43Z,atm_withdrawal,False,False,dev_001109,SG,7569
txn_0000581,card_00432,2026-01-05T17:15:21Z,utilities,True,True,dev_003973,AE,100636
txn_0000582,card_00672,2026-01-12T04:51:27Z,electronics,True,False,dev_000147,DE,15329
txn_0000583,card_00334,2026-01-15T09:53:42Z,pharmacy,False,False,dev_000145,GB,2652
txn_0000584,card_00695,2026-01-30T08:22:48Z,utilities,True,False,dev_003550,IN,28047
txn_0000585,card_00504,2026-01-08T17:06:01Z,utilities,True,False,dev_002201,DE,1363
txn_0000586,card_00627,2026-01-12T07:06:21Z,utilities,False,False,dev_002767,GB,19826
txn_0000587,card_00311,2026-01-06T16:19:32Z,restaurant,False,False,dev_003738,IN,19685
txn_0000588,card_00429,2026-01-10T11:23:03Z,grocery,True,False,dev_003662,GB,2109
txn_0000589,card_00569,2026-01-26T21:41:55Z,online_retail,False,False,dev_000500,AE,4676
txn_0000590,card_00110,2026-01-01T11:24:17Z,fuel,False,False,dev_003648,IN,17676
txn_0000591,card_00833,2026-01-05T16:28:40Z,restaurant,True,False,dev_003393,US,1296
txn_0000592,card_00591,2026-01-05T03:44:20Z,utilities,False,False,dev_004907,US,4042
txn_0000593,card_00699,2026-01-06T13:48:07Z,pharmacy,False,False,dev_003842,GB,1635
txn_0000594,card_00605,2026-01-18T02:01:51Z,online_retail,True,False,dev_001210,DE,6405
txn_0000595,card_00307,2026-01-23T12:35:58Z,grocery,True,False,dev_004971,AE,8955
txn_0000596,card_00216,2026-01-07T23:32:10Z,electronics,True,False,dev_001091,DE,21827
txn_0000597,card_00337,2026-01-23T21:52:27Z,travel,False,False,dev_001960,US,8680
txn_0000598,card_00820,2026-01-29T19:40:20Z,fuel,True,False,dev_004677,GB,1757
txn_0000599,card_00247,2026-01-05T03:14:14Z,travel,True,False,dev_004660,GB,13130
txn_0000600,card_00534,2026-01-18T23:32:09Z,pharmacy,True,False,dev_004860,IN,1649
txn_0000601,card_00891,2026-01-07T01:50:50Z,electronics,True,False,dev_003142,DE,5935
txn_0000602,card_00667,2026-01-08T18:25:21Z,pharmacy,True,False,dev_004674,GB,7175
txn_0000603,card_00418,2026-01-30T16:27:44Z,grocery,True,False,dev_000577,GB,2462
txn_0000604,card_00424,2026-01-27T02:27:26Z,atm_withdrawal,True,False,dev_003354,DE,8774
txn_0000605,card_00730,2026-01-15T00:16:15Z,travel,True,False,dev_004840,GB,7623
txn_0000606,card_00050,2026-01-20T10:34:37Z,online_retail,False,False,dev_003657,IN,3118
txn_0000607,card_00330,2026-01-09T13:31:57Z,utilities,False,False,dev_004740,US,7217
txn_0000608,card_00372,2026-01-15T10:41:14Z,atm_withdrawal,False,False,dev_000359,US,2860
txn_0000609,card_00188,2026-01-25T09:46:15Z,entertainment,True,False,dev_004036,DE,8062
txn_0000610,card_00701,2026-01-03T12:01:06Z,atm_withdrawal,True,False,dev_000439,US,2025
txn_0000611,card_00337,2026-01-25T20:56:45Z,pharmacy,False,False,dev_002207,GB,24770
txn_0000612,card_00476,2026-01-09T13:00:58Z,fuel,True,False,dev_004161,AE,13926
txn_0000613,card_00169,2026-01-25T08:34:23Z,pharmacy,False,False,dev_003114,DE,665
txn_0000614,card_00616,2026-01-18T15:42:51Z,travel,True,False,dev_002982,SG,2557
txn_0000615,card_00144,2026-01-21T14:08:57Z,grocery,True,False,dev_003551,IN,5115
txn_0000616,card_00511,2026-01-05T02:46:08Z,electronics,True,False,dev_001307,SG,12102
txn_0000617,card_00670,2026-01-22T05:10:47Z,restaurant,False,False,dev_001503,AE,2947
txn_0000618,card_00676,2026-01-29T15:28:09Z,grocery,True,False,dev_000175,IN,7145
txn_0000619,card_00560,2026-01-11T10:42:36Z,travel,True,False,dev_001013,SG,20675
txn_0000620,card_00067,2026-01-15T01:40:33Z,pharmacy,False,False,dev_000194,SG,21627
txn_0000621,card_00133,2026-01-05T16:04:46Z,fuel,False,False,dev_001082,DE,8484
txn_0000622,card_00526,2026-01-08T17:20:36Z,entertainment,True,False,dev_004794,SG,9914
txn_0000623,card_00086,2026-01-01T14:24:37Z,atm_withdrawal,True,False,dev_004816,AE,4809
txn_0000624,card_00819,2026-01-13T05:05:02Z,travel,False,False,dev_002323,DE,930
